Results of experiments stored in: ./experiments/CartPole-v1_3
Scores: (min: 9.0, avg: 112.15, max: 500.0)

Episode: 103, exploration: 0.15, score: 268.0
Scores: (min: 9.0, avg: 114.72, max: 500.0)

Episode: 104, exploration: 0.15, score: 500.0
Scores: (min: 9.0, avg: 119.63, max: 500.0)

Episode: 105, exploration: 0.15, score: 483.0
Scores: (min: 9.0, avg: 124.26, max: 500.0)

Episode: 106, exploration: 0.15, score: 250.0
Scores: (min: 9.0, avg: 126.59, max: 500.0)

Episode: 107, exploration: 0.15, score: 361.0
Scores: (min: 9.0, avg: 129.9, max: 500.0)

Episode: 108, exploration: 0.15, score: 425.0
Scores: (min: 9.0, avg: 134.01, max: 500.0)

Episode: 109, exploration: 0.15, score: 341.0
Scores: (min: 9.0, avg: 136.95, max: 500.0)

Episode: 110, exploration: 0.15, score: 316.0
Scores: (min: 9.0, avg: 140.0, max: 500.0)

Episode: 111, exploration: 0.15, score: 296.0
Scores: (min: 9.0, avg: 142.62, max: 500.0)

Episode: 112, exploration: 0.15, score: 67.0
Scores: (min: 9.0, avg: 143.16, max: 500.0)

Episode: 113, exploration: 0.15, score: 310.0
Scores: (min: 9.0, avg: 145.88, max: 500.0)

Episode: 114, exploration: 0.15, score: 105.0
Scores: (min: 9.0, avg: 146.52, max: 500.0)

Episode: 115, exploration: 0.15, score: 410.0
Scores: (min: 9.0, avg: 150.38, max: 500.0)

Episode: 116, exploration: 0.15, score: 141.0
Scores: (min: 9.0, avg: 151.5, max: 500.0)

Episode: 117, exploration: 0.15, score: 176.0
Scores: (min: 9.0, avg: 153.05, max: 500.0)

Episode: 118, exploration: 0.15, score: 223.0
Scores: (min: 9.0, avg: 155.12, max: 500.0)

Episode: 119, exploration: 0.15, score: 357.0
Scores: (min: 9.0, avg: 158.43, max: 500.0)

Episode: 120, exploration: 0.15, score: 167.0
Scores: (min: 9.0, avg: 159.9, max: 500.0)

Episode: 121, exploration: 0.15, score: 54.0
Scores: (min: 9.0, avg: 160.33, max: 500.0)

Episode: 122, exploration: 0.15, score: 219.0
Scores: (min: 9.0, avg: 162.19, max: 500.0)

Episode: 123, exploration: 0.15, score: 176.0
Scores: (min: 9.0, avg: 163.79, max: 500.0)

Episode: 124, exploration: 0.15, score: 321.0
Scores: (min: 9.0, avg: 166.69, max: 500.0)

Episode: 125, exploration: 0.15, score: 201.0
Scores: (min: 9.0, avg: 168.43, max: 500.0)

Episode: 126, exploration: 0.15, score: 34.0
Scores: (min: 9.0, avg: 168.4, max: 500.0)

Episode: 127, exploration: 0.15, score: 450.0
Scores: (min: 9.0, avg: 172.71, max: 500.0)

Episode: 128, exploration: 0.15, score: 213.0
Scores: (min: 9.0, avg: 174.33, max: 500.0)

Episode: 129, exploration: 0.15, score: 172.0
Scores: (min: 12.0, avg: 175.96, max: 500.0)

Episode: 130, exploration: 0.15, score: 232.0
Scores: (min: 12.0, avg: 177.85, max: 500.0)

Episode: 131, exploration: 0.15, score: 175.0
Scores: (min: 15.0, avg: 179.48, max: 500.0)

Episode: 132, exploration: 0.15, score: 248.0
Scores: (min: 15.0, avg: 181.71, max: 500.0)

Episode: 133, exploration: 0.15, score: 428.0
Scores: (min: 15.0, avg: 185.75, max: 500.0)

Episode: 134, exploration: 0.15, score: 358.0
Scores: (min: 15.0, avg: 189.12, max: 500.0)

Episode: 135, exploration: 0.15, score: 111.0
Scores: (min: 15.0, avg: 190.02, max: 500.0)

Episode: 136, exploration: 0.15, score: 208.0
Scores: (min: 15.0, avg: 191.63, max: 500.0)

Episode: 137, exploration: 0.15, score: 247.0
Scores: (min: 15.0, avg: 193.91, max: 500.0)

Episode: 138, exploration: 0.15, score: 149.0
Scores: (min: 15.0, avg: 195.17, max: 500.0)

Episode: 139, exploration: 0.15, score: 171.0
Scores: (min: 15.0, avg: 196.44, max: 500.0)

Episode: 140, exploration: 0.15, score: 122.0
Scores: (min: 15.0, avg: 197.51, max: 500.0)

Episode: 141, exploration: 0.15, score: 366.0
Scores: (min: 15.0, avg: 200.09, max: 500.0)

Episode: 142, exploration: 0.15, score: 168.0
Scores: (min: 16.0, avg: 201.62, max: 500.0)

Episode: 143, exploration: 0.15, score: 226.0
Scores: (min: 16.0, avg: 202.87, max: 500.0)

Episode: 144, exploration: 0.15, score: 175.0
Scores: (min: 16.0, avg: 204.06, max: 500.0)

Episode: 145, exploration: 0.15, score: 126.0
Scores: (min: 16.0, avg: 204.93, max: 500.0)

Episode: 146, exploration: 0.15, score: 254.0
Scores: (min: 16.0, avg: 207.31, max: 500.0)

Episode: 147, exploration: 0.15, score: 246.0
Scores: (min: 16.0, avg: 209.18, max: 500.0)

Episode: 148, exploration: 0.15, score: 216.0
Scores: (min: 16.0, avg: 211.03, max: 500.0)

Episode: 149, exploration: 0.15, score: 14.0
Scores: (min: 14.0, avg: 209.93, max: 500.0)

Episode: 150, exploration: 0.15, score: 21.0
Scores: (min: 14.0, avg: 209.42, max: 500.0)

Episode: 151, exploration: 0.15, score: 500.0
Scores: (min: 14.0, avg: 214.22, max: 500.0)

Episode: 152, exploration: 0.15, score: 280.0
Scores: (min: 14.0, avg: 216.86, max: 500.0)

Episode: 153, exploration: 0.15, score: 184.0
Scores: (min: 14.0, avg: 217.86, max: 500.0)

Episode: 154, exploration: 0.15, score: 250.0
Scores: (min: 14.0, avg: 219.76, max: 500.0)

Episode: 155, exploration: 0.15, score: 182.0
Scores: (min: 14.0, avg: 221.22, max: 500.0)

Episode: 156, exploration: 0.15, score: 219.0
Scores: (min: 14.0, avg: 223.24, max: 500.0)

Episode: 157, exploration: 0.15, score: 153.0
Scores: (min: 14.0, avg: 224.13, max: 500.0)

Episode: 158, exploration: 0.15, score: 258.0
Scores: (min: 14.0, avg: 226.31, max: 500.0)

Episode: 159, exploration: 0.15, score: 38.0
Scores: (min: 14.0, avg: 226.47, max: 500.0)

Episode: 160, exploration: 0.15, score: 204.0
Scores: (min: 14.0, avg: 227.97, max: 500.0)

Episode: 161, exploration: 0.15, score: 283.0
Scores: (min: 14.0, avg: 230.63, max: 500.0)

Episode: 162, exploration: 0.15, score: 179.0
Scores: (min: 14.0, avg: 231.85, max: 500.0)

Episode: 163, exploration: 0.15, score: 216.0
Scores: (min: 14.0, avg: 233.26, max: 500.0)

Episode: 164, exploration: 0.15, score: 122.0
Scores: (min: 14.0, avg: 233.7, max: 500.0)

Episode: 165, exploration: 0.15, score: 206.0
Scores: (min: 14.0, avg: 235.07, max: 500.0)

Episode: 166, exploration: 0.15, score: 170.0
Scores: (min: 14.0, avg: 236.41, max: 500.0)

Episode: 167, exploration: 0.15, score: 260.0
Scores: (min: 14.0, avg: 238.62, max: 500.0)

Episode: 168, exploration: 0.15, score: 83.0
Scores: (min: 14.0, avg: 238.87, max: 500.0)

Episode: 169, exploration: 0.15, score: 66.0
Scores: (min: 14.0, avg: 239.07, max: 500.0)

Episode: 170, exploration: 0.15, score: 164.0
Scores: (min: 14.0, avg: 240.03, max: 500.0)

Episode: 171, exploration: 0.15, score: 167.0
Scores: (min: 14.0, avg: 241.33, max: 500.0)

Episode: 172, exploration: 0.15, score: 265.0
Scores: (min: 14.0, avg: 243.58, max: 500.0)

Episode: 173, exploration: 0.15, score: 113.0
Scores: (min: 14.0, avg: 242.86, max: 500.0)

Episode: 174, exploration: 0.15, score: 112.0
Scores: (min: 14.0, avg: 242.43, max: 500.0)

Episode: 175, exploration: 0.15, score: 133.0
Scores: (min: 14.0, avg: 243.22, max: 500.0)

Episode: 176, exploration: 0.15, score: 336.0
Scores: (min: 14.0, avg: 244.82, max: 500.0)

Episode: 177, exploration: 0.15, score: 122.0
Scores: (min: 14.0, avg: 244.26, max: 500.0)

Episode: 178, exploration: 0.15, score: 500.0
Scores: (min: 14.0, avg: 246.19, max: 500.0)

Episode: 179, exploration: 0.15, score: 182.0
Scores: (min: 14.0, avg: 243.85, max: 500.0)

Episode: 180, exploration: 0.15, score: 149.0
Scores: (min: 14.0, avg: 244.04, max: 500.0)

Episode: 181, exploration: 0.15, score: 57.0
Scores: (min: 14.0, avg: 239.61, max: 500.0)

Episode: 182, exploration: 0.15, score: 173.0
