Results of experiments stored in: ./experiments/CartPole-v1_9

Episode: 11564, exploration: 0.9907133431870585, score: 28.0
Scores: (min: 9.0, avg: 20.61, max: 56.0)

Episode: 11565, exploration: 0.9906737152477552, score: 16.0
Scores: (min: 9.0, avg: 20.61, max: 56.0)

Episode: 11566, exploration: 0.9906340888935458, score: 21.0
Scores: (min: 9.0, avg: 20.68, max: 56.0)

Episode: 11567, exploration: 0.9906043701680682, score: 14.0
Scores: (min: 9.0, avg: 20.73, max: 56.0)

Episode: 11568, exploration: 0.9905845581797253, score: 13.0
Scores: (min: 9.0, avg: 20.68, max: 56.0)

Episode: 11569, exploration: 0.9905548409401544, score: 15.0
Scores: (min: 9.0, avg: 20.7, max: 56.0)

Episode: 11570, exploration: 0.9905350299423912, score: 10.0
Scores: (min: 9.0, avg: 20.62, max: 56.0)

Episode: 11571, exploration: 0.9905053141886525, score: 12.0
Scores: (min: 9.0, avg: 20.61, max: 56.0)

Episode: 11572, exploration: 0.9904755993263776, score: 19.0
Scores: (min: 9.0, avg: 20.47, max: 56.0)

Episode: 11573, exploration: 0.9904458853555397, score: 12.0
Scores: (min: 9.0, avg: 20.48, max: 56.0)

Episode: 11574, exploration: 0.9903864600880676, score: 31.0
Scores: (min: 9.0, avg: 20.61, max: 56.0)

Episode: 11575, exploration: 0.99035674879138, score: 13.0
Scores: (min: 9.0, avg: 20.48, max: 56.0)

Episode: 11576, exploration: 0.9902874258986795, score: 38.0
Scores: (min: 9.0, avg: 20.71, max: 56.0)

Episode: 11577, exploration: 0.9902577175729879, score: 13.0
Scores: (min: 9.0, avg: 20.45, max: 56.0)

Episode: 11578, exploration: 0.9902280101385371, score: 18.0
Scores: (min: 9.0, avg: 20.47, max: 56.0)

Episode: 11579, exploration: 0.9901586962572719, score: 34.0
Scores: (min: 9.0, avg: 20.57, max: 56.0)

Episode: 11580, exploration: 0.990128991793431, score: 15.0
Scores: (min: 9.0, avg: 20.56, max: 56.0)

Episode: 11581, exploration: 0.9900794863339608, score: 25.0
Scores: (min: 9.0, avg: 20.64, max: 56.0)

Episode: 11582, exploration: 0.9900299833497139, score: 23.0
