Results of experiments stored in: ./experiments/CartPole-v1_16

Scores: (min: 10.0, avg: 23.75, max: 70.0)

Episode: 122 (22467), exploration: 0.8392287951230138, score: 10.0
Scores: (min: 10.0, avg: 23.74, max: 70.0)

Episode: 123 (22468), exploration: 0.8385995308689578, score: 13.0
Scores: (min: 10.0, avg: 23.52, max: 70.0)

Episode: 124 (22469), exploration: 0.837970738445115, score: 10.0
Scores: (min: 10.0, avg: 23.42, max: 70.0)

Episode: 125 (22470), exploration: 0.837133081893327, score: 16.0
Scores: (min: 10.0, avg: 23.4, max: 70.0)

Episode: 126 (22471), exploration: 0.8367145676731981, score: 10.0
Scores: (min: 10.0, avg: 23.21, max: 70.0)

Episode: 127 (22472), exploration: 0.8354602799801715, score: 21.0
Scores: (min: 10.0, avg: 23.19, max: 70.0)

Episode: 128 (22473), exploration: 0.8331656339520941, score: 44.0
Model Saved
Scores: (min: 10.0, avg: 23.23, max: 70.0)

Episode: 129 (22474), exploration: 0.8323327807031853, score: 18.0
Scores: (min: 10.0, avg: 23.19, max: 70.0)

Episode: 130 (22475), exploration: 0.8312928848052586, score: 18.0
Scores: (min: 10.0, avg: 23.25, max: 70.0)

Episode: 131 (22476), exploration: 0.8306695709960817, score: 12.0
Scores: (min: 10.0, avg: 23.17, max: 70.0)

Episode: 132 (22477), exploration: 0.8290096847992301, score: 34.0
Scores: (min: 10.0, avg: 23.32, max: 70.0)

Episode: 133 (22478), exploration: 0.8263194410435236, score: 52.0
Scores: (min: 10.0, avg: 23.57, max: 70.0)

Episode: 134 (22479), exploration: 0.8252870580627737, score: 21.0
Scores: (min: 10.0, avg: 23.58, max: 70.0)

Episode: 135 (22480), exploration: 0.8242559649156717, score: 18.0
Scores: (min: 10.0, avg: 23.48, max: 70.0)

Episode: 136 (22481), exploration: 0.8232261599907313, score: 20.0
Scores: (min: 10.0, avg: 23.54, max: 70.0)

Episode: 137 (22482), exploration: 0.8201444584642048, score: 60.0
Scores: (min: 10.0, avg: 23.98, max: 70.0)

Episode: 138 (22483), exploration: 0.819529503884628, score: 13.0
Scores: (min: 10.0, avg: 23.72, max: 70.0)

Episode: 139 (22484), exploration: 0.8185056040826768, score: 18.0
Scores: (min: 10.0, avg: 23.8, max: 70.0)

Episode: 140 (22485), exploration: 0.8174829835157005, score: 21.0
Scores: (min: 10.0, avg: 23.89, max: 70.0)

Episode: 141 (22486), exploration: 0.8164616405854549, score: 20.0
Scores: (min: 10.0, avg: 23.62, max: 70.0)

Episode: 142 (22487), exploration: 0.8142191755568466, score: 44.0
Scores: (min: 10.0, avg: 23.95, max: 70.0)

Episode: 143 (22488), exploration: 0.8129986098695927, score: 26.0
Scores: (min: 10.0, avg: 24.06, max: 70.0)

Episode: 144 (22489), exploration: 0.8121859160833926, score: 13.0
Scores: (min: 10.0, avg: 24.02, max: 70.0)

Episode: 145 (22490), exploration: 0.811576928918499, score: 13.0
Scores: (min: 10.0, avg: 24.02, max: 70.0)

Episode: 146 (22491), exploration: 0.8109683983798035, score: 14.0
Scores: (min: 10.0, avg: 24.05, max: 70.0)

Episode: 147 (22492), exploration: 0.8099551946103799, score: 17.0
Scores: (min: 10.0, avg: 24.08, max: 70.0)

Episode: 148 (22493), exploration: 0.8079325831048373, score: 43.0
Scores: (min: 10.0, avg: 24.21, max: 70.0)

Episode: 149 (22494), exploration: 0.8063181311139281, score: 29.0
Scores: (min: 10.0, avg: 24.11, max: 70.0)

Episode: 150 (22495), exploration: 0.8053107372728964, score: 21.0
Scores: (min: 10.0, avg: 24.17, max: 70.0)

Episode: 151 (22496), exploration: 0.804908132236181, score: 9.0
Scores: (min: 9.0, avg: 24.03, max: 70.0)
